426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444
4.97,4.55,9.02,34.09,10.6,11.12,18.05,3.96,4.17,4.93,3.79,8.14,4.48,3.43,6.28,7.27,10.28,4.36,7.06
4.98,4.52,9.61,35.0,10.42,11.68,19.12,4.74,4.43,5.54,3.89,8.0,4.46,3.85,6.28,7.45,10.7,2.47,9.7
5.11,4.54,10.17,35.78,10.14,11.82,19.65,4.95,4.77,5.72,4.24,8.11,4.52,4.36,6.28,7.55,11.11,2.53,12.47
4.97,4.53,10.14,38.38,10.68,12.37,20.99,6.2,4.75,6.16,4.51,7.93,4.94,4.53,6.28,7.96,12.01,2.78,9.43
5.12,4.56,10.22,40.18,10.73,12.19,20.69,5.91,4.87,6.72,4.6,7.83,4.77,5.27,6.28,8.05,12.43,2.9,8.7
5.18,4.47,10.43,38.1,12.03,12.28,19.72,5.35,4.89,6.82,4.63,7.58,4.75,6.69,6.28,7.84,12.43,3.14,6.83
5.03,4.47,10.34,39.6,10.62,12.56,21.81,6.26,4.75,6.89,4.66,7.23,4.7,6.03,6.28,8.09,12.43,3.06,6.02
4.81,4.5,10.0,40.61,9.89,12.64,22.19,6.54,4.69,7.02,4.75,7.19,4.67,5.05,6.28,8.09,12.43,3.02,6.92
4.76,4.56,10.0,39.35,10.77,12.51,20.74,7.39,4.89,7.01,4.76,7.06,4.78,4.78,6.28,8.5,12.57,3.1,7.79
5.14,4.47,10.11,36.85,10.8,13.49,20.6,9.6,5.18,7.3,4.64,7.12,4.94,4.29,6.28,8.43,12.63,2.95,10.13
5.39,4.46,9.65,38.33,11.25,13.71,21.3,8.98,5.12,7.22,4.75,7.24,4.62,4.07,6.28,8.49,12.75,2.96,9.91
5.28,4.53,9.14,32.63,10.91,12.5,19.52,6.79,4.85,8.71,4.58,7.62,4.85,4.18,6.28,9.88,13.0,2.75,7.39
5.4,4.54,9.13,37.3,9.55,13.09,20.18,5.33,5.19,8.13,4.6,8.12,5.11,4.67,6.28,9.62,13.23,3.22,6.42
5.58,4.46,10.06,36.81,9.46,13.31,19.11,5.49,5.46,8.99,4.71,8.01,5.15,4.76,6.28,9.0,13.66,3.14,8.08
5.35,4.52,10.21,36.9,9.69,12.39,19.49,4.95,5.27,9.42,4.49,8.18,5.01,4.73,6.28,8.56,12.54,2.86,11.53
5.19,4.54,9.53,30.97,10.84,12.72,18.23,4.62,2.89,9.65,4.49,8.29,5.39,5.02,6.28,9.62,13.45,3.23,10.78
5.5,4.42,9.66,29.07,9.7,12.78,16.33,4.77,4.99,9.48,4.61,7.66,4.88,5.01,6.28,9.19,13.53,2.35,10.3
5.51,4.6,9.54,24.15,9.44,12.38,16.04,4.8,5.89,9.35,4.36,7.69,5.01,4.76,6.28,9.06,13.2,2.43,10.4
5.39,4.6,8.88,26.92,10.54,12.18,17.29,4.51,5.75,9.31,4.14,7.68,4.79,4.24,6.28,8.92,14.08,2.37,8.94
5.65,4.64,8.72,29.48,10.76,12.6,17.21,3.91,5.4,8.82,4.19,7.71,4.87,3.94,6.28,8.67,13.49,2.36,10.32
5.83,4.62,9.12,30.06,9.94,13.21,18.36,4.72,5.49,8.56,4.19,7.6,5.21,3.85,6.28,8.71,13.37,2.44,10.07
5.98,4.64,8.46,30.06,12.52,13.21,17.81,4.72,5.49,8.75,4.14,7.48,5.05,4.07,6.28,8.98,13.13,2.65,10.07
6.36,4.57,7.81,30.06,13.93,13.21,18.07,4.72,5.69,9.37,4.22,8.13,5.35,4.04,6.28,8.99,13.46,2.53,10.07
