12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3.79,4.06,4.24,16.99,13.71,14.63,6.09,6.92,7.17,7.07,10.05,9.47,1.88,6.76,34.57,8.81,3.18,5.12,9.18,12.07,1.66,3.6
3.95,4.04,4.66,16.84,13.49,14.94,6.1,6.34,7.12,7.37,9.33,8.8,1.89,7.71,37.33,8.58,3.18,5.48,8.59,12.23,1.72,3.41
3.81,4.01,5.94,16.67,13.82,14.73,6.75,3.54,7.44,7.0,9.61,8.95,1.79,8.31,43.38,8.28,3.18,5.13,8.56,12.36,1.74,3.38
3.94,3.93,5.39,17.03,13.1,15.76,7.8,3.41,7.3,6.55,8.7,8.63,1.8,7.62,41.36,7.48,3.18,4.95,8.9,12.16,1.68,3.43
4.25,3.81,5.71,16.71,12.99,15.47,9.44,3.83,7.19,6.73,9.67,8.58,1.9,7.47,43.2,6.92,3.18,4.92,9.0,12.13,1.71,4.3
3.92,3.65,7.19,16.6,12.99,14.94,7.25,4.14,6.8,7.62,10.4,9.81,1.93,6.99,44.18,6.51,3.18,5.03,9.13,12.36,1.79,5.54
3.99,3.61,5.57,16.73,13.11,15.39,6.33,3.05,6.92,7.53,10.36,9.31,1.95,7.13,43.19,6.62,3.18,4.84,8.78,12.37,1.82,7.22
3.99,3.53,5.34,17.09,13.82,15.13,5.3,6.38,6.93,7.57,10.4,9.54,1.92,3.2,42.29,6.92,3.18,4.33,8.79,12.27,1.83,4.87
3.92,3.66,5.58,16.97,12.88,15.21,5.16,5.16,7.19,6.83,9.99,10.3,1.88,3.19,41.44,6.87,3.18,4.65,8.0,12.51,1.9,5.21
3.99,3.98,4.95,16.99,13.68,14.24,4.68,4.14,7.18,6.65,10.25,10.22,1.91,3.26,42.93,6.54,3.18,4.64,7.63,12.68,1.86,5.93
3.97,4.31,5.0,16.97,12.41,14.13,4.85,3.79,6.78,6.94,10.3,9.92,1.9,4.15,40.77,6.85,3.18,4.52,7.0,12.71,1.85,7.12
4.12,4.33,4.99,16.89,12.79,13.61,5.15,3.9,7.0,6.75,8.92,9.94,1.83,4.38,42.16,6.86,3.18,4.35,6.56,12.75,1.87,7.43
4.38,4.2,4.4,16.95,13.01,13.09,4.83,3.73,7.07,6.69,8.16,9.66,1.84,10.63,40.0,6.56,3.18,4.57,6.63,12.47,1.87,6.49
4.38,4.05,4.19,16.96,13.28,13.59,4.13,3.71,6.65,6.88,7.5,9.25,1.83,10.39,39.03,6.77,3.18,4.44,6.81,12.84,1.92,6.89
4.8,3.97,3.97,16.94,12.99,13.09,3.79,3.62,6.89,6.76,7.45,9.29,1.81,11.26,39.14,6.52,3.18,4.44,7.11,12.59,1.99,6.12
4.8,4.12,3.97,16.95,12.99,13.09,3.79,3.81,6.59,6.9,7.21,9.13,1.83,11.38,39.24,6.64,3.18,4.39,7.27,12.86,1.81,6.12
4.8,4.05,3.97,16.95,12.99,13.09,3.79,3.84,6.16,7.25,7.92,10.75,1.84,10.62,36.59,6.57,3.18,4.37,6.78,12.82,1.87,6.12
