257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
3.35,2.38,6.09,4.06,14.75,16.11,6.5,6.95,14.0,4.07,2.9,2.95,3.15,1.3,2.09,11.09,3.49,2.89,2.89,4.38,10.52,0.98,5.82
3.37,2.43,6.24,4.23,13.75,14.9,6.52,7.01,14.01,5.11,3.11,3.23,3.41,1.34,2.4,11.95,3.52,3.0,3.0,4.44,10.8,0.99,5.27
3.19,2.21,5.03,3.72,14.74,15.65,6.34,7.85,14.62,6.06,3.13,3.29,3.71,1.17,2.46,11.12,3.39,2.85,2.85,4.01,11.06,0.99,4.88
3.44,2.18,3.62,3.61,15.27,17.03,6.49,7.97,15.14,4.36,3.08,3.4,3.53,1.17,2.57,10.93,3.42,2.55,2.54,4.25,11.15,0.99,3.49
3.96,2.25,3.38,3.56,14.8,18.34,6.8,8.07,15.48,3.35,3.15,3.34,3.82,1.28,2.49,10.94,3.48,2.4,2.4,5.04,11.0,0.97,3.12
4.71,2.23,3.08,3.69,16.12,19.23,7.2,8.7,16.16,3.0,3.46,3.25,3.85,1.31,2.58,10.51,4.12,2.49,2.49,6.94,11.34,0.97,3.67
4.78,2.32,5.42,3.9,18.29,20.46,7.48,9.0,17.43,2.68,3.44,3.16,3.83,1.28,2.59,10.54,4.33,2.59,2.59,7.67,11.5,0.99,3.53
5.04,2.46,6.36,4.1,18.76,23.55,7.49,9.14,18.74,2.44,3.36,3.06,3.72,1.22,2.71,12.11,4.06,2.59,2.62,8.02,11.66,1.01,2.73
5.87,2.92,7.24,4.5,20.0,28.7,7.3,9.05,20.82,2.79,3.69,3.31,3.99,1.31,2.96,13.38,4.48,2.59,2.79,8.1,12.21,1.05,2.88
5.34,2.85,6.21,4.29,20.3,27.18,8.54,9.34,22.7,3.23,3.89,3.59,3.88,1.21,3.13,13.9,4.06,2.59,3.09,7.79,11.94,1.05,3.19
5.61,2.98,4.79,4.32,20.64,23.38,9.76,10.92,22.96,5.21,2.77,3.99,3.83,1.24,2.63,12.56,3.76,2.59,3.21,7.48,11.75,0.87,2.73
5.59,3.04,4.82,4.39,22.33,23.1,9.32,10.65,23.22,5.35,2.47,3.86,4.23,1.21,2.71,14.29,3.56,2.59,3.35,7.7,10.99,0.86,2.79
5.54,3.06,4.01,4.56,22.32,25.52,8.81,10.37,24.2,4.36,2.37,3.46,4.24,1.26,2.84,13.91,3.68,2.59,3.3,8.22,11.13,0.86,3.36
5.01,2.98,3.72,4.56,21.19,30.35,8.81,10.57,26.44,3.31,2.46,3.24,3.92,1.27,2.11,12.43,4.36,2.59,3.25,7.52,10.7,1.02,3.66
4.88,2.9,3.14,4.53,21.48,33.87,10.36,12.73,29.66,2.86,2.78,3.12,3.56,1.35,1.91,12.66,4.32,2.59,3.03,7.83,10.43,1.24,3.3
4.86,3.29,4.08,5.41,23.5,29.65,10.56,11.69,24.88,2.93,2.79,3.09,3.53,1.6,2.24,12.96,4.56,2.59,3.19,8.46,10.46,1.33,4.0
5.03,3.39,4.05,5.83,23.41,28.83,10.95,11.82,20.43,2.86,2.87,2.92,3.92,1.67,2.34,12.46,4.39,2.59,3.22,8.79,10.44,1.39,3.5
4.99,3.68,4.65,6.15,23.01,28.69,10.18,11.2,18.6,2.68,3.07,3.06,4.04,1.83,2.49,12.92,4.79,2.59,3.38,8.8,10.46,1.55,3.75
4.94,3.82,5.42,6.77,23.13,28.14,9.23,10.32,16.1,2.61,3.83,3.71,4.75,1.82,2.54,13.73,4.98,2.59,3.65,9.16,10.82,1.78,4.95
