97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
4.3,4.91,4.78,13.67,5.64,5.2,10.45,5.81,5.99,3.56,7.82,7.24,8.0,3.61,5.95,3.86,11.06,1.99
4.42,3.43,4.91,14.88,5.3,5.08,11.68,4.54,4.47,4.16,6.51,6.84,8.0,3.52,4.34,3.66,10.95,2.27
4.57,2.97,4.8,16.0,6.02,5.69,12.32,3.73,3.79,3.47,5.61,6.69,8.0,3.94,4.71,4.68,10.82,3.14
5.29,2.77,5.05,17.48,6.18,5.81,13.96,2.64,3.75,3.04,5.93,6.31,8.0,3.87,5.16,6.06,11.0,3.38
6.65,3.62,5.29,16.64,5.12,6.24,14.79,2.43,3.68,3.22,5.86,7.44,8.91,3.52,4.99,6.74,11.91,4.58
6.21,4.53,5.69,20.37,6.89,6.91,17.57,1.95,3.85,3.47,5.78,6.9,9.0,3.62,5.23,7.6,11.75,5.34
5.98,4.48,5.17,14.92,7.43,7.02,19.82,2.72,4.16,3.91,6.09,7.06,9.0,3.74,5.17,7.48,11.22,4.85
6.25,5.74,5.06,17.35,6.59,6.48,18.56,3.74,3.88,3.6,5.76,7.87,9.0,3.54,5.13,7.0,9.18,5.52
5.84,3.74,5.12,18.74,6.97,6.24,16.17,4.44,3.94,2.99,6.34,7.92,9.2,3.06,4.94,6.22,8.87,4.39
4.99,3.86,5.49,18.99,6.77,6.03,18.05,4.4,3.97,2.79,6.27,7.97,9.0,3.16,5.16,6.48,8.59,4.08
5.35,3.6,5.58,19.85,6.51,6.08,12.45,4.67,3.99,3.19,6.47,8.29,9.0,3.38,5.94,6.96,8.5,3.69
5.38,4.39,5.21,21.97,6.49,6.57,14.86,5.23,3.71,3.6,6.31,7.85,9.0,3.47,6.17,7.11,8.56,5.09
5.03,3.42,4.96,23.04,7.17,7.06,16.47,3.29,3.83,3.46,6.64,7.99,9.0,3.56,4.9,7.24,7.08,3.37
4.38,2.35,4.86,21.31,7.77,7.35,14.72,2.67,3.69,3.28,6.24,7.13,9.0,3.58,5.05,7.14,9.13,4.13
4.14,2.49,6.72,20.47,8.42,7.62,12.22,1.94,4.14,3.57,6.17,7.17,9.0,3.67,5.62,7.15,9.69,3.54
5.63,3.17,6.9,21.38,8.59,7.77,10.54,2.47,6.51,3.72,6.42,7.24,9.86,3.77,5.56,8.1,9.99,4.42
5.16,4.26,6.54,20.44,9.2,8.27,11.37,1.77,4.73,3.52,6.56,7.04,10.0,3.84,5.54,7.56,9.93,6.04
5.49,3.72,6.32,19.19,8.15,8.47,10.34,2.22,4.52,3.76,6.5,6.97,10.0,3.49,5.5,7.44,9.99,7.81
6.11,3.46,5.92,18.43,8.06,7.68,10.77,3.36,4.05,3.41,6.05,6.95,10.0,3.65,4.91,7.88,9.99,7.77
5.9,4.21,8.02,20.76,8.84,7.11,11.18,3.67,5.11,3.41,5.87,6.58,10.0,3.67,5.54,8.57,11.05,7.12
5.54,6.34,12.04,21.07,8.05,6.88,9.57,2.86,5.52,4.35,6.48,7.72,10.0,3.37,5.21,8.52,9.99,6.58
4.87,5.06,8.16,20.47,7.94,7.97,10.82,4.38,5.46,5.19,6.53,7.77,10.78,4.01,5.49,9.01,11.73,8.51
5.03,7.01,7.99,21.56,7.51,7.87,10.8,4.59,5.5,4.54,6.93,8.0,12.0,4.68,6.39,9.94,13.8,9.8
4.99,6.81,7.99,21.74,8.64,7.89,15.49,5.14,5.54,4.69,7.67,8.12,12.0,4.79,5.87,9.99,13.99,7.9
5.73,5.01,8.1,21.55,7.76,8.38,19.16,5.0,5.98,4.84,7.92,7.51,12.86,5.18,5.19,9.95,11.72,5.52
5.66,4.66,7.76,20.9,7.28,8.38,18.83,5.15,5.73,4.74,7.35,7.18,12.43,6.26,5.22,9.51,10.32,3.82
5.12,4.26,7.6,20.34,8.61,9.3,12.9,4.82,6.56,4.53,6.9,6.78,12.0,6.27,6.42,9.38,13.12,3.29
5.22,3.59,7.94,20.31,8.89,8.16,11.71,5.76,6.76,3.4,6.77,6.62,12.0,5.17,5.99,8.51,15.81,3.7
