366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390
5.1,5.4,3.41,4.83,8.94,6.79,22.89,4.25,2.92,4.86,4.27,4.32,7.32,7.75,7.39,8.92,1.25,2.27,15.42,4.62,2.55,3.45,8.22,10.2,1.08
5.29,5.22,3.19,4.92,8.87,6.8,22.1,4.57,2.9,4.84,4.23,4.36,7.96,7.69,6.63,9.15,1.29,2.5,15.86,4.48,2.55,3.48,8.16,10.25,1.08
5.36,5.21,3.3,5.14,9.04,7.03,22.82,4.19,2.85,4.85,4.21,4.38,8.72,7.87,7.08,9.32,1.32,2.5,16.04,4.42,2.55,3.55,8.5,10.7,1.11
5.56,5.29,3.32,5.17,9.19,7.28,21.29,3.0,2.91,5.27,4.3,4.46,8.88,7.73,7.18,9.42,1.44,2.7,16.44,4.5,2.55,3.49,8.64,10.58,1.09
5.74,5.18,3.71,5.26,9.84,7.3,19.73,2.4,2.86,5.21,4.32,4.48,8.41,7.57,7.03,9.09,1.58,3.0,16.1,4.65,2.55,3.67,8.84,10.61,1.12
5.76,5.16,3.85,5.6,10.12,7.78,18.46,2.12,2.82,5.37,4.41,4.6,7.83,7.68,6.65,8.66,1.69,3.0,16.34,4.77,2.55,3.76,8.73,10.68,1.1
5.58,5.07,3.96,6.02,10.45,8.09,17.52,1.93,3.03,5.32,4.57,4.65,7.45,7.43,7.17,8.39,1.74,3.0,16.68,5.08,2.55,3.88,8.8,10.89,1.11
5.57,4.91,3.93,6.56,11.28,8.31,18.11,2.12,2.92,5.19,4.7,4.84,7.37,7.72,7.28,8.35,1.82,3.0,17.28,5.12,2.55,4.02,8.92,10.95,1.13
5.44,4.95,4.02,7.0,11.77,8.93,18.98,1.92,2.85,5.27,4.99,5.14,7.54,7.79,7.45,8.34,1.8,2.94,16.24,5.2,2.55,3.98,9.1,11.38,1.18
5.63,4.84,4.26,7.28,12.1,9.76,19.42,2.75,2.64,5.42,5.08,5.57,7.5,7.82,7.94,8.62,1.91,3.0,15.31,5.2,2.55,4.08,9.56,10.65,1.17
5.64,4.61,4.38,7.91,11.8,9.74,20.46,3.58,2.62,5.27,5.16,5.57,7.54,7.58,7.71,8.56,1.89,3.0,16.62,5.18,2.55,4.46,9.8,10.63,1.19
5.51,4.52,4.4,8.62,11.41,9.32,19.68,4.27,2.84,5.75,5.29,5.53,7.45,7.71,7.68,8.45,1.99,3.0,16.04,5.07,2.55,4.25,9.86,10.74,1.25
