489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512
25.96,2.72,3.58,3.58,9.42,22.91,22.99,7.04,15.75,4.42,6.89,6.89,4.74,8.35,7.5,2.86,4.09,12.69,4.19,5.75,6.48,14.9,2.29,6.76
26.09,3.02,6.03,6.03,9.46,20.83,22.99,8.17,17.29,4.06,6.71,6.71,5.07,8.42,9.03,3.34,4.49,12.44,4.14,5.79,7.23,14.9,2.3,10.8
28.55,2.9,7.75,7.75,9.29,22.32,25.99,8.89,20.16,4.71,6.21,6.21,4.66,8.27,8.78,2.96,4.61,12.25,4.12,5.78,7.39,14.99,2.29,8.49
26.94,2.91,6.36,7.75,9.24,21.97,25.8,8.88,20.07,4.12,5.49,5.49,3.69,7.49,8.23,3.1,4.17,11.95,3.76,5.79,7.5,13.28,2.22,6.93
24.18,2.72,6.46,7.75,9.08,21.66,25.99,8.12,19.22,4.3,5.98,5.98,3.31,6.81,7.77,2.54,4.07,10.37,3.42,5.28,7.14,13.25,2.21,7.74
22.9,2.69,4.87,7.75,9.3,23.46,25.17,7.67,17.02,4.4,6.46,6.46,3.3,6.92,8.38,2.58,4.85,11.48,3.4,5.93,6.93,12.71,1.99,6.51
24.28,2.95,4.38,7.75,9.44,23.62,25.26,7.39,19.19,4.73,6.67,6.67,3.28,7.15,8.42,2.64,5.51,11.66,3.48,6.3,7.42,11.2,2.19,5.05
24.55,3.04,4.73,7.75,10.15,24.34,26.09,8.06,18.79,5.25,6.39,6.39,3.86,7.36,8.99,3.1,5.51,12.56,3.77,6.28,7.58,10.67,2.08,5.35
22.61,3.05,4.83,7.75,9.99,26.43,26.11,8.29,17.98,4.24,6.36,6.36,3.48,7.33,8.42,3.3,5.26,10.86,3.5,6.31,7.21,12.79,2.17,6.62
21.52,3.3,3.96,7.75,10.25,27.14,28.94,8.8,17.27,4.19,5.65,5.65,3.46,7.01,8.04,3.24,4.3,10.95,3.87,6.25,7.34,12.0,2.11,5.18
21.81,3.63,3.15,7.75,10.63,26.17,27.28,9.44,17.2,4.67,5.81,5.81,3.83,7.46,8.2,3.03,4.56,12.41,3.99,6.75,7.53,11.55,2.16,6.08
21.98,3.77,3.73,7.75,12.31,22.81,24.2,10.25,16.7,4.72,6.04,6.05,4.02,7.92,8.28,3.11,4.98,13.16,4.15,6.75,7.74,10.97,2.21,6.37
22.3,3.98,4.18,7.75,12.8,22.9,25.88,11.53,17.32,4.72,6.34,6.34,4.07,7.86,8.16,3.26,5.12,13.34,4.22,6.83,7.86,11.42,2.19,6.66
21.74,4.08,4.51,7.75,13.03,22.06,25.48,11.75,18.11,4.77,6.77,6.77,4.19,7.54,8.02,3.51,5.11,13.68,4.1,6.81,7.84,12.09,2.13,8.2
21.51,4.39,4.67,7.75,14.36,20.54,24.1,11.86,17.38,4.63,6.99,7.03,4.2,7.23,7.87,3.48,5.35,13.56,3.82,6.65,8.22,11.96,2.14,8.52
19.39,4.4,4.09,7.75,15.92,18.65,24.22,11.27,16.88,4.58,7.47,7.47,4.34,7.19,8.1,3.43,5.47,13.57,3.71,6.61,8.31,11.84,2.08,7.75
19.72,4.38,4.18,7.75,17.21,20.8,24.93,10.82,15.83,4.82,7.14,7.11,4.31,7.2,7.88,3.63,5.77,13.09,3.83,6.78,8.53,13.47,2.2,7.84
19.5,4.39,5.1,7.75,16.38,22.92,24.65,7.96,14.87,5.4,6.8,6.81,4.36,7.8,8.2,3.65,6.35,13.0,3.94,6.85,8.67,13.98,2.27,7.11
20.55,4.3,5.72,7.75,16.72,21.9,24.63,8.82,14.66,4.81,7.21,7.21,4.69,8.14,8.92,3.7,6.52,13.68,4.4,6.94,9.35,13.87,2.1,8.54
20.9,4.3,6.38,7.75,17.01,22.05,24.48,9.67,15.13,4.9,7.58,7.58,4.95,8.54,9.32,3.88,6.57,14.27,4.92,7.11,9.81,14.22,2.09,10.34
21.02,4.27,6.98,7.75,16.69,21.84,25.36,10.22,15.41,4.8,7.8,7.86,5.27,9.29,9.15,3.87,6.92,14.54,4.99,7.5,9.85,14.46,2.12,10.51
21.07,4.1,6.8,7.75,16.08,21.67,25.26,10.01,16.02,4.93,8.79,8.79,5.36,9.46,8.43,4.21,6.91,15.4,5.43,7.75,10.01,14.34,2.38,10.09
