Produto/Unidade,Nível de Comercialização,U.F.,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020
LEITE DE VACA IN NATURA (l),PRODUTOR,AC,"1,10","1,10","1,10","1,10","1,10","1,10","1,08","1,09","1,10","1,10","1,20","1,26"
MARACUJÁ (kg),PRODUTOR,AC,"2,79","2,78","2,73","2,74","2,72","2,80","2,88","2,92","2,93","2,96","3,49","3,83"
MILHO EM GRÃOS (50 kg),PRODUTOR,AC,,,,"45,00","45,00","45,00","45,00","45,00","45,00","46,14","62,50","70,00"
MURUMURU FRUTO (kg),PRODUTOR,AC,"0,51","0,51","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50","0,50"
OVOS DE GALINHA GRANDE BRANCO (dz),PRODUTOR,AC,"3,46","3,44","3,41","4,29","5,46","6,45","5,82","4,91","4,80","4,76","4,76","4,72"
POLVILHO (kg),PRODUTOR,AC,"3,08","3,01","3,01","3,14","3,19","3,14","3,17","3,21","3,38","3,50","3,55","3,80"
RAIZ DE MANDIOCA DE MESA (kg),PRODUTOR,AC,"1,00","1,00","1,00","1,00","1,00","1,00","1,02","1,06","1,08","1,10","1,23","1,32"
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AC,"462,17","460,00","466,25","472,73","471,19","474,50","486,52","499,29","509,77","495,45","527,14","554,13"
ÓLEO DE MURUMURU (kg),PRODUTOR,AC,"29,00","29,00","31,25","32,00","32,00","32,00","32,00","32,00","32,00","32,00","32,00","32,00"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),VAREJO,AC,"2,90","2,90","2,90","2,90","2,90","2,90","2,90","2,92","5,00","5,20","5,00","5,20"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),VAREJO,AC,"2,55","2,55","2,55","2,55","2,57","2,55","2,58","2,60","4,00","4,00","4,00","3,92"
AÇÚCAR CRISTAL (kg),VAREJO,AC,,,,,,,,,,,"2,76","2,83"
CARNE BOVINA PONTA DE AGULHA (kg),VAREJO,AC,"15,00","15,20","15,40","16,00","16,00","16,50","16,55","17,00","22,00","25,00","26,00","25,33"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AC,"6,75","6,85","6,87","6,95","7,00","6,85","6,70","6,75","6,85","6,92","7,10","7,14"
CEBOLA (kg),VAREJO,AC,"3,00","2,90","2,95","3,00","3,10","3,00","3,00","3,09","3,25","3,42","3,53","3,78"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (kg),VAREJO,AC,,,,,,,,,,,"4,90","4,79"
FARINHA DE TRIGO COMUM (kg),VAREJO,AC,"3,65","3,70","3,65","3,75","3,82","3,85","3,90","3,95","4,00","4,10","4,25","4,19"
FEIJÃO COMUM CORES TIPO 1 (kg),VAREJO,AC,"4,50","4,50","4,50","5,25","5,55","5,10","5,25","5,65","6,00","6,45","6,75","6,78"
FLOCOS DE MILHO ENRIQUECIDO (kg),VAREJO,AC,"3,40","3,45","3,40","3,50","3,55","3,50","3,60","3,65","3,80","3,70","4,00","4,19"
FUBÁ DE MILHO COMUM AMARELO (500 g),VAREJO,AC,,,,,,,,,,,"3,82","3,72"
LEITE DE VACA EM PÓ INTEGRAL (400 g),VAREJO,AC,,,,,,,,,,,"11,50","11,77"
LEITE DE VACA LONGA VIDA INTEGRAL (l),VAREJO,AC,"3,75","3,80","3,82","3,90","3,95","3,96","4,05","4,10","4,50","4,60","4,70","4,92"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (kg),VAREJO,AC,"5,95","6,00","6,20","7,00","7,50","7,55","7,70","8,00","8,50","8,50","8,00","6,91"
OLEO DE SOJA REFINADO (900 ml),VAREJO,AC,,,,,,,,,,,"8,25","8,35"
PÃO FRANCÊS (kg),VAREJO,AC,"10,50","10,50","10,50","10,50","10,40","10,40","10,00","10,00","10,00","10,00","10,00","10,00"
RAIZ DE MANDIOCA DE MESA (kg),VAREJO,AC,"2,60","2,70","2,75","2,75","2,75","2,80","2,85","2,85","2,85","2,85","2,85","2,85"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AL,"91,93","92,95","97,83","105,81","109,13","112,73","110,06","121,08","144,40","141,59","143,80","149,91"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (30 kg),ATACADO,AL,,,"74,70","74,70","71,60",,,,,,,
AÇÚCAR CRISTAL (30 kg),ATACADO,AL,"59,90","62,21","62,73","64,93","67,89","66,04",,"69,31","70,90","70,00","71,87","74,94"
CAFÉ MOÍDO E TORRADO (10 kg),ATACADO,AL,"144,65","144,80","147,30","151,68","145,66","138,67","141,31","146,41","147,45","148,67","153,45","156,91"
CARNE BOVINA DIANTEIRO COM OSSO (kg),ATACADO,AL,"13,00","13,00","13,85","13,75","14,22","15,45","15,77","16,00","16,51","17,90","18,50","18,64"
CARNE DE FRANGO RESFRIADO (kg),ATACADO,AL,,,"8,40","8,27","8,40",,,,,,,
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AL,"197,18","198,11","197,97","203,60","181,95",,,"226,80","227,40","225,96","243,97","245,41"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (10 kg),ATACADO,AL,,,,,,,,,,,"29,50","31,23"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AL,,,,,,,,,,,,"3,41"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AL,"148,98","154,63","157,56","183,52","197,71","202,09","195,74","194,40","195,64","190,46","190,23","196,08"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AL,"189,50","169,22","174,60","223,94","237,93","260,73","248,70","215,45","207,34","208,72","195,43","223,85"
FEIJÃO COMUM CORES TIPO 2 (30 kg),ATACADO,AL,"169,02","141,63","142,84","209,65","209,31","216,15","196,37","175,20","197,19","186,58","176,88","187,38"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AL,"150,22","148,91","152,57","183,78","199,68","226,40","223,44","218,51","221,80","221,71","219,51","227,38"
FLOCOS DE MILHO FLOCÃO (500 g),ATACADO,AL,,,,,,,,,,,,"1,37"
FUBÁ DE MILHO COMUM AMARELO (kg),ATACADO,AL,,,,,,,,,,,"2,02","2,11"
FÉCULA DE MANDIOCA (kg),ATACADO,AL,"3,90","4,07","3,96","3,91","3,99","3,62",,"3,79","3,95","4,03","4,25","4,17"
LEITE DE VACA EM PÓ INTEGRAL (20 kg),ATACADO,AL,"372,50","374,17","376,28","404,72","413,65","415,67",,"477,67","517,40","516,36","532,83","582,81"
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (10 kg),ATACADO,AL,,"69,80","73,60","73,17","73,30",,,"83,00","83,00",,,
MACARRÃO ESPAGUETE SÊMOLA SEM OVOS (500 g),ATACADO,AL,,,,,,,,,,,,"2,65"
MILHO EM GRÃOS (60 kg),ATACADO,AL,"58,96","54,25","56,18","52,61","51,38","49,93","53,54","61,90","62,16","62,73","72,00","70,52"
OLEO DE SOJA EXTRA FILTRADO (20 un),ATACADO,AL,"75,51","76,70","77,61","80,87","79,81","82,29","82,47","97,78","126,43","144,17","153,49","154,20"
OLEO DE SOJA REFINADO (20 un),ATACADO,AL,"75,51","76,70","77,87","80,87","79,81","82,29","82,47","98,42","126,43","144,17","153,43","153,78"
OVOS DE GALINHA BRANCO (A) (30 dz),ATACADO,AL,"127,42","130,28","146,06","170,14","169,00","172,20","156,16","139,02","140,98","143,53","134,68","146,17"
ABACAXI PÉROLA (un),PRODUTOR,AL,"1,35","1,13","1,11","0,96","0,55",,,,"1,30","1,35","1,34","1,20"
ARROZ LONGO FINO EM CASCA (50 kg),PRODUTOR,AL,"43,04","42,71","43,37","45,65","45,83",,,,"83,33","81,44","76,04","71,82"
BANANA DA TERRA (1000 un),PRODUTOR,AL,"530,71","496,88","478,98","490,34","500,00","525,00","684,78","620,24","690,91","665,91","600,00","683,70"
BANANA PRATA (1000 un),PRODUTOR,AL,"64,77","71,88","74,43","124,72","134,35","135,63","143,81","137,38","134,32","113,52","66,88","53,48"
BATATA-DOCE (kg),PRODUTOR,AL,"0,99","1,00","1,58","1,81","2,15","2,39","2,08","1,43","1,05","0,79","0,76","1,16"
BOI GORDO (15 kg),PRODUTOR,AL,"196,96","186,91","196,78","207,89","202,73","225,33","238,58","251,91","254,73","261,67","282,06","311,88"
CANA DE AÇÚCAR (t),PRODUTOR,AL,"79,13","82,29","85,04","93,70","93,54","100,96","94,73","100,52","100,63","105,73","105,46","110,47"
CARNE CAPRINA CARCAÇA (kg),PRODUTOR,AL,"15,79","15,50","15,78","15,83","15,88","16,38","17,63","19,50","20,39","20,55","21,00","21,83"
CASTANHA DE CAJU EM CASCA (kg),PRODUTOR,AL,,,,,,,,,,,"4,16","3,63"
COCO SECO (un),PRODUTOR,AL,"0,69","1,00","1,06","1,01","1,15","1,10","1,14","1,20","1,28","1,46","1,43","1,43"
COCO VERDE (un),PRODUTOR,AL,"0,70","0,73","0,70","0,61","0,40","0,42","0,55","0,61","0,68","0,78","0,80","0,80"
FARINHA DE MANDIOCA FINA SECA (50 kg),PRODUTOR,AL,"77,72","80,63","69,43","81,33","81,97","80,23","88,48","97,98","89,09","94,66","92,50","83,37"
FEIJÃO COMUM CORES (60 kg),PRODUTOR,AL,,,,,,,,"342,73","303,64","300,00","300,00",
FRANGO VIVO (kg),PRODUTOR,AL,"4,65","4,23","4,57","4,16","4,56","4,40","4,64","5,24","5,56","5,46","5,48","5,49"
INHAME (60 kg),PRODUTOR,AL,"280,82","305,00","260,00","275,56","324,69","353,62","342,84","266,03","224,40","220,00","232,50","246,52"
LARANJA LIMA (1000 un),PRODUTOR,AL,"200,00","200,00","190,00","188,38","164,53","150,00","166,96","151,37","135,23","114,66","104,38","126,63"
LEITE DE VACA IN NATURA (l),PRODUTOR,AL,"1,17","1,08","1,12","1,10","0,96","1,05","1,36","1,67","1,90","1,99","2,00","1,97"
MARACUJÁ (kg),PRODUTOR,AL,"2,07","2,50","2,56","2,29","1,37","1,12","1,61","1,84","1,96","1,94","1,96","2,06"
MEL DE ABELHA (kg),PRODUTOR,AL,"7,25","7,57","8,06","8,00","9,00","9,00","9,00","9,00","9,13","10,48","10,57","10,55"
MILHO EM GRÃOS (60 kg),PRODUTOR,AL,,,,,,,,,"60,00","60,00","62,50","65,00"
OVOS DE GALINHA GRANDE BRANCO (30 dz),PRODUTOR,AL,"104,96","104,25","125,00","132,89","137,14","122,50","120,00","110,00","107,05","108,41","106,67","114,13"
RAIZ DE MANDIOCA PARA FARINHA (t),PRODUTOR,AL,"231,52","212,50","177,05","229,44","233,33","240,00","197,50","182,50","205,00","368,64","331,25","333,48"
SUÍNO VIVO (kg),PRODUTOR,AL,"6,45","7,06","7,04","7,02","7,00","7,00","7,37","8,29","8,59","8,96","9,33","10,01"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (kg),VAREJO,AL,,,,,,,,,,,,"5,88"
ARROZ LONGO FINO BENEFICIADO TIPO 2 (kg),VAREJO,AL,"2,51","2,63","2,64","2,72","2,96","3,16","3,20","3,28","3,29","5,16","5,37","4,41"
AÇÚCAR CRISTAL (kg),VAREJO,AL,"2,06","2,23","2,22","2,25","2,26","2,29","2,28","2,31","2,34","2,43","2,47","2,63"
BATATA INGLESA (kg),VAREJO,AL,"3,86","4,07","5,01",,,,,"3,56","3,00","4,93","5,60","5,53"
CAFÉ MOÍDO E TORRADO (500 g),VAREJO,AL,"8,49","8,49","8,57","8,97","8,82","8,82","8,82","8,76","8,76","8,75","8,88","8,99"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AL,"8,52","8,49","8,55",,,,,"8,70","8,48","9,27","8,81","8,93"
CARNE DE FRANGO RESFRIADO (kg),VAREJO,AL,"9,51","9,43","9,54",,,,,"9,82","9,72","10,26","10,32","10,50"
CEBOLA (kg),VAREJO,AL,"2,37","2,35","3,44",,,,,"3,14","3,15","2,08","2,68","3,00"
EXTRATO DE TOMATE (340 g),VAREJO,AL,"4,88","5,11","4,76","4,59","4,97","4,74","4,13","4,33","4,89","5,11","5,32","4,95"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (kg),VAREJO,AL,,,,,,,,,,,,"4,11"
FARINHA DE TRIGO COMUM (kg),VAREJO,AL,"3,59","3,85","3,86","3,66","3,84","4,05","4,01","4,05","4,15","4,06","4,17","4,47"
FEIJÃO CAUPI TIPO 1 (kg),VAREJO,AL,"4,95","5,45","5,53","6,03","6,69","6,85","6,82","6,57","6,49","6,54","6,73","6,74"
FEIJÃO COMUM CORES TIPO 1 (kg),VAREJO,AL,"7,12","6,37","6,44","8,14","8,21","9,81","9,04","7,87","7,82","7,79","7,05","7,97"
FEIJÃO COMUM PRETO TIPO 1 (kg),VAREJO,AL,"5,60","5,42","5,67","6,35","7,44","8,09","8,07","7,94","8,19","8,23","8,29","8,36"
FLOCOS DE MILHO PRE-COZIDO (500 g),VAREJO,AL,"1,43","1,45","1,32","1,35","1,50","1,57","1,55","1,49","1,62","1,65","1,61","1,75"
FUBÁ DE MILHO COMUM AMARELO (kg),VAREJO,AL,,,,,,,,,,,,"1,58"
FUBÁ DE MILHO COMUM MIMOSO (kg),VAREJO,AL,"2,37","2,67","2,53","2,49",,"2,29","2,32","2,38","2,53","2,47","2,69","2,72"
LEITE DE VACA EM PÓ INTEGRAL (kg),VAREJO,AL,"24,59","24,80","24,76","25,54","25,47","25,92","26,29","26,70","29,60","31,00","31,09","31,08"
LEITE DE VACA UHT INTEGRAL (l),VAREJO,AL,"4,26","4,12","4,07","4,14","3,93","4,39","5,59","5,43","5,84","5,14","5,09","4,99"
MACARRÃO ESPAGUETE SÊMOLA (500 g),VAREJO,AL,"2,91","2,81","3,09","2,91","2,80","2,84","2,85","3,01","3,07","2,94","3,18",
MACARRÃO ESPAGUETE SÊMOLA SEM OVOS (500 g),VAREJO,AL,"2,91","2,81","3,07","2,91","2,80","2,84","2,85","3,03","3,07","2,94","3,18","3,08"
OLEO DE SOJA REFINADO (900 ml),VAREJO,AL,"4,00","4,07","4,29","4,46","4,58","4,47","4,49","5,14","7,75","8,11","8,38","8,49"
PÃO FRANCÊS (kg),VAREJO,AL,"8,12","8,05","8,27",,,,,"8,87","8,58","8,68","8,45","8,44"
SAL (kg),VAREJO,AL,"1,32","1,38","1,39","1,44","1,45","1,42","1,40","1,40","1,45","1,45","1,46","1,50"
TOMATE (kg),VAREJO,AL,"3,20","5,28","6,10",,,,,"3,26","3,06","3,93","3,63","3,69"
ARROZ LONGO FINO BENEFICIADO TIPO 1 (30 kg),ATACADO,AM,"87,72","82,87","80,75","102,64","116,02","98,80","100,52","98,93","117,00","126,75","119,48","133,52"
AÇÚCAR CRISTAL (30 kg),ATACADO,AM,"77,57","76,05","77,04","84,40","80,86","77,94","79,12","77,18","76,86","79,10","79,45","84,87"
CARNE BOVINA DIANTEIRO COM OSSO (15 kg),ATACADO,AM,"171,26","178,17","187,75","200,45","186,55","193,75","192,72","197,88","218,65","241,89","256,60","288,57"
CASTANHA DO BRASIL BENEFICIADA (20 kg),ATACADO,AM,"848,89","920,00","920,00","920,00","824,76","780,00","780,00","780,00","780,00","780,00","780,00","840,00"
FARINHA DE MANDIOCA GROSSA(O) TIPO 1 D ÁGUA (25 kg),ATACADO,AM,"61,64","63,60","63,48","72,23","75,49","97,83","102,09","108,50","100,34","98,09","96,90","97,62"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (25 kg),ATACADO,AM,,,,,,,,,,,,"101,26"
FARINHA DE TRIGO COMUM TIPO 1 (10 kg),ATACADO,AM,"28,66","27,70","27,74","29,23","32,29","34,63","36,74","37,13","35,31","35,23","34,50","32,89"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AM,"122,33","126,85","130,65","141,30","147,71","143,10","147,61","149,25","172,95","163,00","148,68","166,85"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AM,"151,13","138,23","150,00","209,30","209,33","227,50","230,65","237,50","207,18","201,59","202,75","220,65"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AM,"141,23","134,88","140,81","152,61","172,47","183,86","205,87","215,00","213,86","213,41","204,23","196,80"
FLOCOS DE MILHO ENRIQUECIDO (10 kg),ATACADO,AM,,,,,,,,,,,,"54,00"
FLOCOS DE MILHO FLOCÃO (10 kg),ATACADO,AM,"34,44","36,82","35,13","35,33","36,14","38,43","37,02","35,28","34,55","32,73","40,15","46,57"
FLOCOS DE MILHO PRE-COZIDO (10 kg),ATACADO,AM,,,,,,,,,,,,"54,00"
LEITE DE VACA EM PÓ INTEGRAL (24 un),ATACADO,AM,,,,,,,,,,,,"282,28"
LEITE DE VACA LONGA VIDA INTEGRAL (12 l),ATACADO,AM,"38,09","41,39","40,40","41,91","42,76","42,96","44,85","43,65","47,14","47,53","53,58","55,58"
MACARRÃO ESPAGUETE COM OVOS (10 kg),ATACADO,AM,"34,73","37,29","36,60","40,48","42,93","43,35","44,10","44,60","42,59","38,96","43,34",
MACARRÃO ESPAGUETE SÊMOLA COM OVOS (10 kg),ATACADO,AM,"34,73","37,29","36,55","40,48","42,93","43,28","44,10","44,57","42,59","38,96","43,34","44,83"
MILHO EM GRÃOS (60 kg),ATACADO,AM,"69,65","73,65","81,61","92,39","91,43","81,19","77,35","83,03","84,00","86,29","88,81","94,52"
OLEO DE SOJA REFINADO (20 un),ATACADO,AM,"85,76","85,03","85,68","94,91","94,45","95,20","97,94","98,79","114,11","134,77","135,81","151,09"
OVOS DE GALINHA TIPO A BRANCO (300 dz),ATACADO,AM,"1.168,04","1.149,00","1.161,00","1.496,73","1.480,00","1.295,50","1.183,04","1.179,00","1.260,86","1.196,27","1.137,50","1.275,65"
ABACAXI PÉROLA (kg),PRODUTOR,AM,"2,27","2,26","2,21","2,08","1,77","1,69","1,65","1,69","1,67","1,70","1,85","1,76"
AMÊNDOA DE ANDIROBA (kg),PRODUTOR,AM,,,,,,"1,50","1,00","1,00","1,00",,,
AMÊNDOA DE CACAU (kg),PRODUTOR,AM,"5,73","6,13","6,08","6,31","6,50","6,50","5,50","5,50",,,,
AÇAÍ FRUTO (kg),PRODUTOR,AM,"2,36","2,04","1,39","1,12","1,10","1,25","1,00",,,,,
BANANA PRATA (kg),PRODUTOR,AM,"3,26","2,96","2,54","2,60","2,65","2,51","2,72","3,02","2,70","2,55","2,61","2,81"
BATATA-DOCE (kg),PRODUTOR,AM,"2,60","2,60","2,60","2,60","2,35","2,23","2,30",,,,,"2,26"
BORRACHA CERNAMBI VIRGEM PRENSADO (kg),PRODUTOR,AM,"2,38","2,30",,,,,,,,,,"2,50"
BURITI FRUTO (kg),PRODUTOR,AM,"0,60","0,40","0,40","0,40","0,44","0,45","0,45","0,45",,,,
CAFÉ CONILLON TIPO 7 (60 kg),PRODUTOR,AM,"262,33","261,75",,,,"220,00","237,17","260,00",,,,
CARÁ (kg),PRODUTOR,AM,"1,56",,,,,,,"1,00","1,05","1,49","1,68","2,05"
CASTANHA DO BRASIL EM CASCA (hl),PRODUTOR,AM,"163,97","165,64","137,48","106,32","109,49","100,00",,,,,"111,67","136,58"
CURIMATÃ (kg),PRODUTOR,AM,"2,44","3,19","3,50","3,57","3,52","3,88","3,85","3,69","3,26","3,03","2,94","3,03"
FARINHA DE MANDIOCA FINA SECA (50 kg),PRODUTOR,AM,"93,47","100,00","100,00","100,00","100,00","100,00","134,78","140,00","148,18","150,00","145,00","148,26"
FARINHA DE MANDIOCA MÉDIA D ÁGUA (50 kg),PRODUTOR,AM,"149,67","140,25","175,23","190,23","204,76","240,50","282,39","273,75","273,41","282,73","281,25","283,48"
GUARANÁ TIPO 1 (kg),PRODUTOR,AM,"21,59","21,50",,,,,,,,,"19,00","19,00"
JARAQUI (kg),PRODUTOR,AM,"2,44","3,07","3,23","3,39","2,58","2,49","2,78","2,01","2,32","3,39","4,14","4,44"
JUTA JUTA/MALVA EM BRUTO (kg),PRODUTOR,AM,"2,40","2,85","2,91","2,98","2,98","3,01","3,03",,,,,
LEITE DE VACA IN NATURA (l),PRODUTOR,AM,"1,39","1,40","1,40","1,40","1,40","1,40","1,49","1,59","1,95","2,00","2,00","2,00"
MURUMURU FRUTO (kg),PRODUTOR,AM,"0,64","0,60","0,80","2,30","2,30","2,28","2,27","2,29","2,29","0,58",,
OVOS DE GALINHA GRANDE BRANCO (30 dz),PRODUTOR,AM,"115,32","111,00","114,25","145,35","159,62","148,80","147,91","164,97","162,49","164,13","157,50","157,62"
PACU (kg),PRODUTOR,AM,,,"3,18","5,10","5,43","5,58","6,80","4,31","4,14","4,84","5,43",
PIAÇAVA BENEFICIADA (kg),PRODUTOR,AM,"1,60",,,,,,,,,,,
PIAÇAVA BENEFICIADA TORA (kg),PRODUTOR,AM,"1,96","2,40","2,46","2,28","2,00","2,10","2,30","2,35","2,56","2,51","2,41","2,40"
PIAÇAVA NÃO BENEFICIADA (kg),PRODUTOR,AM,"1,82","1,80","2,01","1,76","1,70","1,79","2,00","2,05","2,32","1,99","1,80","1,80"
PIAÇAVA NÃO BENEFICIADA CABEÇA (kg),PRODUTOR,AM,"1,44","1,20","1,69","1,58","1,50","1,65","1,65","1,73","1,86","1,70","1,53","1,52"
PIRARUCU (kg),PRODUTOR,AM,"5,58","4,99","5,17",,,,,,"6,17","6,17","6,00","5,83"
QUEIJO DE COALHO (kg),PRODUTOR,AM,"21,82","21,88","22,78","23,03","23,22","23,13","24,41","25,57","27,02","27,79","26,75","26,78"
RAIZ DE MANDIOCA DE MESA (kg),PRODUTOR,AM,"1,69","2,29","1,79","1,77","1,45","1,39","1,56","1,54","1,88","1,95","2,31","2,35"
ÓLEO DE BURITI (kg),PRODUTOR,AM,,"60,00","57,73","60,00","60,00","60,00","60,00","60,00","57,50","50,00","50,00",
ÓLEO DE COPAÍBA (l),PRODUTOR,AM,"35,00","35,00","35,00","35,00","35,00","33,75","34,00","33,00","35,33","32,33","32,00","32,00"
ÓLEO DE MURUMURU (kg),PRODUTOR,AM,"45,00","45,00","45,00","45,00","45,00","45,00","44,13","40,00","40,00","40,00","40,00","40,00"
AÇÚCAR CRISTAL (kg),VAREJO,AM,,,,,,,,,,,,"2,94"
BATATA INGLESA (kg),VAREJO,AM,"3,89","3,69","3,29","3,87","3,85","3,85","3,79","3,90","3,69","3,89","5,42","4,52"
CARNE DE FRANGO CONGELADO (kg),VAREJO,AM,"6,94","6,85","7,99","6,59","6,45","6,70","5,99","6,05","6,50","7,00","7,60","7,40"
