Produto/Unidade,Nível de Comercialização,U.F.,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
CARNE DE FRANGO RESFRIADO (kg),ATACADO,AL,"12,48","11,87","10,98","10,58","11,74","12,05","12,17","12,73","13,23","13,20","12,15","11,21"
CARNE SUÍNA CONGELADO PERNIL COM OSSO (12 kg),ATACADO,AL,"255,51","256,34","250,46","244,71","250,20","251,93","252,41","248,24","246,78","240,74","229,05","265,54"
FARINHA DE MANDIOCA MÉDIA TIPO 1 SECA (10 kg),ATACADO,AL,"31,28","34,54","39,53","39,97","40,51","41,98","40,00","39,55","39,63","44,49","53,56","57,63"
FARINHA DE TRIGO ENRIQUECIDA TIPO 1 (kg),ATACADO,AL,"3,89","3,95","4,34","4,76","5,16","5,39","5,72","5,78","5,59","5,45","5,29","5,42"
FEIJÃO CAUPI TIPO 1 (30 kg),ATACADO,AL,"220,97","222,71","234,01","225,31","232,21","232,53","231,50","226,01","216,50","215,96","197,77","198,64"
FEIJÃO COMUM CORES TIPO 1 (30 kg),ATACADO,AL,"205,50","202,55","225,55","247,73","271,55","298,82","295,79","281,20","268,49","237,52","220,99","263,30"
FEIJÃO COMUM CORES TIPO 2 (30 kg),ATACADO,AL,"183,72","187,39","201,07","222,67","242,27","266,05","255,59","245,53","231,27","220,88","213,01","241,16"
FEIJÃO COMUM PRETO TIPO 1 (30 kg),ATACADO,AL,"224,11","222,69","247,19","250,54","255,85","246,46","239,08","235,98","229,88","221,28","214,78","229,88"
FLOCOS DE MILHO ENRIQUECIDO (500 g),ATACADO,AL,"1,61","1,63","1,57","1,52","1,51","1,56","1,53","1,50","1,54","1,57","1,51","1,55"
FLOCOS DE MILHO FLOCÃO (500 g),ATACADO,AL,"1,90","1,87","1,92","1,92","1,91","1,91","1,93","1,91","1,92","1,90","1,97","1,84"
FLOCOS DE MILHO PRE-COZIDO (500 g),ATACADO,AL,"1,61","1,62","1,57","1,52","1,51","1,56","1,53","1,50","1,54","1,57","1,51","1,55"
FUBÁ DE MILHO COMUM AMARELO (kg),ATACADO,AL,"3,63","3,53","3,60","3,70","3,77","3,85","4,11","3,88","3,81","3,67","3,84","3,75"
FÉCULA DE MANDIOCA (kg),ATACADO,AL,"4,95","5,25","5,39","6,02","6,30","6,28","6,40","6,30","6,65","6,76","7,21","7,77"
LEITE DE VACA EM PÓ INTEGRAL (20 kg),ATACADO,AL,"516,43","501,49","542,99","539,48","561,47","645,32","731,59","760,25","767,09","754,58","680,62","668,84"
MACARRÃO ESPAGUETE SÊMOLA SEM OVOS (500 g),ATACADO,AL,"3,55","3,45","3,46","3,85","4,04","3,97","4,47","4,19","4,12","4,24","4,66","4,34"
MILHO EM GRÃOS (60 kg),ATACADO,AL,"84,24","93,08","93,26","87,56","89,43","91,27","93,90","93,65","92,66","85,75","82,95","80,23"
OLEO DE SOJA EXTRA FILTRADO (20 un),ATACADO,AL,"168,15","168,31","207,66","219,49","218,89","207,28","183,61","158,94","160,40","161,61","162,68","171,32"
OLEO DE SOJA REFINADO (20 un),ATACADO,AL,"168,16","169,03","207,66","219,49","218,66","207,28","183,61","158,94","160,40","161,62","163,44","171,32"
